NOM_ENT ,DISTRITO,VPH_PISODT,VPH_2YMASD,VPH_C_ELEC,VPH_AGUADV,VPH_AEASP,VPH_TINACO,VPH_CISTER,VPH_EXCSA,VPH_C_SERV,VPH_DSADMA,VPH_REFRI,VPH_LAVAD,VPH_HMICRO,VPH_TV,VPH_PC,VPH_TELEF,VPH_CEL,VPH_INTER,VPH_S_ELEC,VPH_AGUAFV,VPH_NODREN,VPH_NDEAED,VPH_SNBIEN,VPH_TELEF,VPH_CVJ,VPH_SINRTV,VPH_SINLTC,VPH_SINCIN
México,27,121729,96957,122859,121967,104187,89425,38773,122254,121397,122152,106318,95648,70157,117745,64942,57680,113123,81014,210,1090,513,24,476,57680,22825,2545,6381,36412
México,28,153206,99539,154488,152175,125405,87637,25024,153075,150921,152890,133661,109362,63979,145700,49856,44020,140998,71216,326,2632,1238,58,789,44020,16176,4193,10543,72586
México,29,95307,59970,95835,95643,92154,89515,90755,95762,95298,95466,87567,75682,50545,92342,45141,59117,85605,66782,48,219,16,1,232,59117,13682,1710,4231,24951
México,3,108379,77763,110765,107047,70990,80919,24307,94524,96667,96197,76349,44138,26225,101858,23459,15049,90950,33714,1236,4954,12250,340,2470,15049,3003,6498,18975,72594
México,30,108694,68430,112848,109860,103298,78603,50309,111991,108611,111277,97749,81968,51211,106834,37384,50459,100891,60780,305,3289,1293,33,475,50459,11447,2991,7685,46660
México,31,95679,58817,96281,95923,95115,86600,71361,96144,95591,95898,86470,73166,48771,92502,41549,56846,85043,63238,67,424,58,4,319,56846,11818,1930,5059,28977
México,32,100339,54410,103909,102239,99156,76350,51278,103391,101575,102795,85541,69578,41547,96834,31457,46101,92016,58207,133,1793,529,21,572,46101,8804,3472,6938,41605
México,33,106511,72576,111115,103333,81359,72062,29767,108897,102220,108298,95384,80977,51198,105104,39497,49272,99301,58942,372,8132,1993,69,575,49272,12440,3006,7910,46614
México,34,116282,92234,117085,116392,106441,100370,47368,116768,116091,116778,104350,88990,67787,111847,63694,58624,107626,78911,249,942,281,44,502,58624,17951,2722,5324,32389
México,35,101634,70657,105408,102347,87388,84985,21220,99201,98057,99121,74550,61255,27923,92704,22831,21286,86832,34795,758,3819,5253,191,2579,21286,4364,7517,16234,66835
México,36,95264,65029,99250,93797,56175,75108,20642,89575,85526,88933,76499,56168,22034,83668,16766,14460,80309,22589,1307,6760,10303,349,3495,14460,2426,11179,17803,73351
México,37,112390,84549,114233,112171,92476,80255,28928,112834,111014,112506,103776,91557,59690,109639,50801,54801,104285,67167,185,2212,1152,27,429,54801,16526,2423,6157,40127
México,38,104129,73448,107117,96799,51052,93755,46162,105264,95929,104585,92553,75898,48396,101995,39186,38602,96771,54778,298,10612,2215,80,443,38602,9878,2435,7123,46399
México,39,101054,62097,105156,99226,89458,86548,53144,103621,98538,103524,89213,74212,43635,99307,34593,50953,92649,55649,248,6168,1011,55,552,50953,10052,2848,7107,44445
México,4,115176,80401,117231,113167,88737,95047,37450,115114,112079,115129,103597,88829,63566,112476,45712,58441,105497,65896,175,4239,1331,29,495,58441,13604,2302,6549,45199
México,40,108703,79525,111608,108138,74661,77065,30004,101797,102243,103028,76980,52876,35970,104432,29207,24322,92356,39550,893,4362,7374,250,2010,24322,7280,4524,18041,67884
México,41,162020,121539,163452,161992,149588,57420,21552,163072,161702,162958,154158,137037,101532,157347,82964,76381,153714,106421,101,1525,297,9,402,76381,31215,3113,5790,45451
México,5,109592,73403,111782,107207,77597,91692,32010,109725,105781,109668,96196,79436,46006,105732,34110,31800,99915,47932,347,4922,1809,77,658,31800,7963,3268,9548,57143
México,6,114372,95594,115375,115240,111160,85023,51524,115177,114952,115005,109948,99240,74536,111925,62541,78526,106686,83279,51,122,76,5,216,78526,22818,1762,3027,26429
México,7,118578,97158,119595,116759,107706,112226,55936,118894,116276,118226,114964,105945,84215,116694,71439,82362,111627,89081,62,2894,909,9,197,82362,26988,1436,2981,25011
México,8,96808,73064,98053,97663,95824,81343,36032,97771,97318,97542,92108,81455,59836,94505,47001,59357,89191,65798,55,429,123,9,244,59357,15041,1766,4029,27477
México,9,94175,63257,97463,82678,36105,58788,30541,54476,59708,56011,43334,21951,11368,85088,7405,3640,73853,9115,2179,16960,33606,1053,5376,3640,690,10461,25099,87345
Michoacán de Ocampo,1,95406,65221,101316,99790,83508,65183,34658,97952,96717,97854,94419,78271,27907,90544,26881,21674,92542,39965,729,2255,3375,181,1129,21674,5684,7480,7580,55905
Michoacán de Ocampo,10,119655,94686,121419,119948,107220,112587,68329,120448,119520,120386,116598,100884,75949,115336,69030,56159,114479,86383,191,1657,666,31,256,56159,21097,2994,3611,29708
Michoacán de Ocampo,11,93432,69522,102026,100038,77028,73441,26219,86564,91565,86244,86017,71908,37053,93991,19609,16218,88264,31151,932,2917,9366,188,1337,16218,4373,5233,11892,66453
Michoacán de Ocampo,12,86080,60813,94474,93755,74898,62529,34956,91512,90489,91188,86342,73549,32630,82966,20065,19419,83423,36733,1369,2083,3327,255,1726,19419,4400,7702,9962,54279
Michoacán de Ocampo,2,111771,79906,114157,113112,83007,95610,29250,109462,109985,109364,105011,83402,53551,107918,27274,24334,99609,42944,424,1469,3406,81,793,24334,7485,3384,9968,65578
Michoacán de Ocampo,3,88936,61928,95886,92251,50767,56713,37043,84325,87736,85370,79125,62481,27415,83971,17386,17219,79830,27624,1155,4789,5244,263,2273,17219,3316,8640,13798,65480
Michoacán de Ocampo,4,105403,75024,109321,106843,98842,90465,40753,105156,104745,105023,98439,83756,48248,102931,29336,35730,92651,51859,458,2936,3331,141,1083,35730,8299,3919,9856,53218
Michoacán de Ocampo,5,111518,81264,112578,111506,95641,92562,39024,111679,110729,111611,105338,89993,55979,107094,37671,39945,97952,60125,306,1377,848,58,616,39945,11561,2872,8026,47496
Michoacán de Ocampo,6,97122,69265,100890,97980,66861,79233,26556,91161,92381,91854,86248,67142,35395,93058,17646,16624,85739,26994,882,3792,6919,281,1300,16624,3705,4681,12395,69777
Michoacán de Ocampo,7,97241,74171,106131,101730,89624,80533,26185,88790,91553,88175,83429,71463,41515,98112,23221,22481,87310,32131,609,5008,12023,160,2025,22481,5686,4697,15106,68684
Michoacán de Ocampo,8,118671,91433,121855,117365,97471,108852,49799,118967,116257,118855,114308,96222,65118,115498,54238,39631,114613,73175,314,4804,1769,76,405,39631,16616,2831,4775,41870
Michoacán de Ocampo,9,88958,70322,93469,92082,86153,76263,19810,89712,88835,89027,84404,73127,42528,87803,31832,23898,86757,52669,294,1680,3519,59,587,23898,9308,3146,4797,37132
Morelos,1,112309,82018,113534,112434,103693,101523,59547,113153,112067,113027,107937,85327,65046,106484,61867,67194,105335,83009,141,1239,365,19,332,67194,16783,3219,3440,26589
Morelos,2,110039,79397,112851,111165,102405,93498,50813,112160,110619,112152,105876,77988,55429,104609,45451,50169,103932,69298,312,1997,670,78,569,50169,12246,4323,5114,39018
Morelos,3,103636,70267,108692,104930,88203,81402,41094,106081,103072,105997,97167,71537,38659,99452,34223,40397,97053,52790,641,4401,2295,155,941,40397,6856,5183,7277,51276
Morelos,4,104850,72107,110089,107796,96432,82707,50203,108247,106081,108079,100440,68409,39975,99032,33171,42323,95346,55119,556,2848,1991,127,1290,42323,6803,6365,9677,51197
Morelos,5,106405,70156,111243,99853,70501,83887,58198,103843,96709,103772,92836,66564,33416,100252,30138,36404,98121,47614,744,12131,4773,192,1171,36404,5521,5606,9442,59052
Nayarit,1,95588,62510,98046,95710,72520,44706,21688,92123,88408,90991,84668,69045,29143,86933,18375,24280,81222,25680,4258,6597,10333,2021,4803,24280,3700,9579,16189,70273
Nayarit,2,124720,94786,125653,125047,116188,104853,60741,125018,124178,125052,118446,98300,65457,119312,63085,45924,117995,82963,617,1223,910,129,591,45924,20454,3537,4658,36331
Nayarit,3,128058,89857,129824,129576,118124,92871,29017,128343,127445,128275,119443,97333,55452,118037,44233,37807,119483,60646,1272,1519,2189,265,1362,37807,11829,7385,7634,61365
Nuevo León,1,117798,95695,118595,118452,117862,23757,11691,118477,118201,118347,116800,108705,90585,115445,72634,83046,111528,96039,103,245,239,29,150,83046,30079,1721,2690,19384
Nuevo León,10,116778,85259,117543,117340,115425,14586,6442,117324,117000,117127,114559,103621,88421,113100,72549,82012,107878,92786,97,292,262,19,223,82012,27416,2356,3899,22055
Nuevo León,11,104320,82039,104762,104461,103196,9750,1712,104600,104323,104572,103152,96335,77175,101912,58624,74064,95919,82121,77,377,123,8,164,74064,21005,1551,2934,20011
Nuevo León,12,203742,149900,205039,204311,198491,29167,2082,204289,203697,204202,194767,165935,102239,193238,66428,75294,194811,117658,276,1004,652,24,673,75294,26563,5975,7805,77830
Nuevo León,2,155033,126134,155610,155556,155066,25490,1756,155548,155430,155513,152662,140405,108258,150364,86837,94545,149728,122958,49,96,46,5,180,94545,36978,2564,2851,27109
Nuevo León,3,130128,100702,131416,130630,128915,15020,789,131052,130263,130869,126969,115017,81480,126636,61815,73167,124824,92982,146,921,360,19,349,73167,26334,2501,3883,34111
Nuevo León,4,121132,98507,121743,121742,121475,11839,1557,121736,121653,121674,120495,113759,96652,119248,75326,93130,112674,101300,44,41,31,3,103,93130,27614,1272,2268,17681
Nuevo León,5,77280,60032,78245,77951,77535,8207,667,77898,77648,77808,75850,68976,46044,75576,30282,45839,70361,53673,73,366,319,14,206,45839,10174,1464,4084,22349
Nuevo León,6,127215,100396,127953,127922,127659,16254,6279,127894,127820,127856,126207,118756,103573,124738,85294,98039,118308,107000,68,91,73,14,215,98039,32358,1806,3142,18375
Nuevo León,7,242486,175595,243960,243188,238583,37607,3399,242693,241946,242520,231156,194757,129968,228502,78850,86685,231546,137179,717,1471,1196,118,848,86685,31227,8349,9785,96021
Nuevo León,8,120213,96632,120750,120642,120350,15830,900,120717,120543,120634,118808,110576,83676,117594,65127,76208,114429,94693,66,172,105,8,137,76208,26135,1567,2657,22073
Nuevo León,9,118152,79401,120126,114236,92077,29548,5162,103541,106652,102925,113755,103372,64722,111927,37727,40133,105681,52525,1133,7022,11224,469,1137,40133,10221,5603,11507,62480
Oaxaca,1,100028,63203,108241,100503,75238,43845,16533,93277,85741,85722,88377,62627,23680,87433,19166,22590,83444,32731,1658,9396,19558,621,4883,22590,2678,14182,22169,72738
Oaxaca,10,95541,60408,114238,108540,73550,72422,24279,78799,77590,73013,75810,42695,14981,78838,16559,16823,84306,26252,3732,9430,34748,801,8601,16823,1530,22267,28977,86722
Oaxaca,2,86879,52551,104404,88575,57727,63077,14873,69002,63747,60195,58968,36453,15543,73285,15345,12876,63160,21667,3264,19090,36539,1514,13200,12876,1592,20531,41169,81612
Oaxaca,3,102982,72589,113925,97394,67670,89683,34583,91313,82897,87040,86591,63571,28128,93032,31150,26378,91755,40087,2670,19199,20403,961,4633,26378,4546,12533,20378,68934
Oaxaca,4,102393,73661,120518,113055,89089,82832,21759,95281,93837,89271,82930,53525,26626,89982,26406,26334,90426,38711,1815,9277,22766,529,8727,26334,3481,18270,26403,77699
Oaxaca,5,94292,56209,104860,98050,79056,61327,25581,92422,82427,85189,79404,52842,19055,77932,19483,16459,76024,32210,2969,9779,18050,678,8593,16459,2286,19332,28972,71264
Oaxaca,6,83253,54202,98910,94655,72794,51715,14861,60711,59393,53868,53888,39094,9923,62110,9666,13259,56379,13561,3077,7330,39677,820,13750,13259,719,25699,39576,84072
Oaxaca,7,107521,65694,112649,105080,89381,49457,19194,108092,100541,107436,90079,66707,22880,90785,21003,18760,86902,31433,2611,10180,5635,753,5742,18760,1923,15706,24706,78399
Oaxaca,8,106385,77263,111220,105642,89799,103159,51558,107311,104399,107013,99096,73640,48184,99951,56804,52206,104825,71362,560,6138,2350,169,581,52206,10075,5571,3996,33809
Oaxaca,9,90504,56357,104831,97484,69611,55290,36523,86538,81823,84307,74695,39948,11657,69671,13394,17995,75098,21797,2886,10231,17794,744,10559,17995,959,27680,27195,81284
Puebla,1,94819,58176,104225,94819,74359,60937,15577,91650,88557,91522,66135,41033,17764,81791,15660,17737,77617,23251,1517,10923,9028,467,6835,17737,2412,13975,24678,78219
Puebla,10,143179,109876,144997,141283,102244,110218,71570,143455,140393,143412,130990,107792,78493,137241,76989,67510,134531,94019,203,3908,1129,30,530,67510,26406,3568,6591,44330
Puebla,11,136973,102148,138603,133760,119686,104805,76227,136008,132361,135978,121950,99609,69919,130348,63253,52788,130057,81973,412,5254,2251,118,685,52788,20283,3853,6297,49214
Puebla,12,110276,86701,110763,110383,108717,100126,85790,110518,110290,110520,104987,88894,70702,105871,66681,64711,102925,81606,67,447,226,18,214,64711,18560,2200,3071,24056
Puebla,13,111809,74412,117721,112784,87662,82911,34111,111853,109244,111993,95788,73482,30897,103614,28913,42219,97985,42864,784,5720,4246,195,2006,42219,7159,7750,12512,70587
Puebla,14,106173,65043,111611,101708,80713,83302,45311,101856,97052,103068,83789,65650,18367,94256,15466,20255,83142,25023,1203,11105,6458,389,3437,20255,1723,12058,22834,83076
Puebla,15,108885,74943,116043,113534,91461,83872,55274,106636,110457,108964,90823,66533,31238,103021,35043,27499,103255,51208,1001,3508,3437,199,1591,27499,6491,7098,10758,60056
Puebla,2,95367,60311,104885,101191,78816,74310,15139,85463,89606,86065,53015,38136,15231,83553,12675,13300,80018,18158,2041,5736,13484,531,6795,13300,1719,12976,24075,84396
Puebla,3,103336,64569,108884,106956,89705,68308,23246,95632,99450,96217,66393,45642,22208,95124,21155,17827,92381,23383,1782,3710,8364,422,3243,17827,3550,7600,15775,80693
Puebla,4,88408,59361,100881,93590,74048,58202,28568,76222,81470,76199,54118,40237,11244,82758,9913,8574,74352,17762,1486,8777,16330,445,5675,8574,1159,11606,25845,81864
Puebla,5,102927,75287,107420,106781,96221,81635,20767,104985,105123,104920,80661,64989,32089,98820,25650,26404,92828,41440,363,1001,1742,54,1053,26404,5557,3971,11117,61117
Puebla,6,108477,81128,110243,107515,95776,93488,83180,109283,106901,109369,94319,79071,52581,104819,44868,45846,100372,62718,404,3132,823,69,625,45846,13180,2679,6675,42367
Puebla,7,104393,70293,107549,99468,73142,77454,60069,100902,96362,102140,72817,61285,24559,98117,19494,17089,92361,31683,867,8948,4096,228,1604,17089,3500,5489,14059,72341
Puebla,8,94248,60190,98848,97295,79084,67467,24478,82881,87731,83066,57413,44283,16353,89404,12097,12677,78044,20816,807,2359,10579,189,2405,12677,1888,5601,18875,75164
Puebla,9,111911,82173,112789,111362,99681,98345,85559,112375,111121,112401,102644,86327,64090,107930,57756,56110,104258,75459,138,1565,292,18,330,56110,16406,2117,4656,32457
Querétaro,1,86354,57001,88341,84231,68019,67478,11489,78140,77197,78330,72443,53058,28957,78296,17009,11621,69043,24363,1799,5909,8565,543,2762,11621,2899,7302,18224,60096
Querétaro,2,111046,79313,112296,111328,99799,78728,7494,110333,109254,109736,102649,79183,53253,106092,41764,29628,102309,56812,555,1523,2340,183,636,29628,10551,3437,8127,49523
Querétaro,3,170911,131889,172838,170983,154968,144425,27020,171538,169945,171393,163942,139789,106849,164810,95307,93782,164898,134663,282,2136,1208,66,504,93782,34879,3925,5390,32662
Querétaro,4,128584,102753,130365,129844,127232,114978,36593,130081,129571,130031,125474,108560,89287,124257,84895,87586,123885,110992,137,657,342,28,349,87586,28334,2984,2875,16539
Querétaro,5,155727,115177,158084,155503,134434,108426,31418,154065,151511,153509,146549,121837,95006,149493,81264,66880,146843,103215,913,3492,4556,266,1259,66880,29768,5054,9742,49184
Quintana Roo,1,159468,79617,161241,160248,146630,150514,40875,160782,157090,159617,141595,116967,59348,139150,57689,38137,152154,88395,1798,2788,3022,341,1874,38137,14512,15621,9762,66551
Quintana Roo,2,107641,57333,110766,110428,103823,94870,28023,106427,104400,105730,89712,84604,33015,92239,35243,21995,95356,50728,2250,2587,6230,511,2712,21995,6764,12587,16340,56798
Quintana Roo,3,104403,57562,105435,103741,98054,100664,25725,105448,102943,104464,96844,82263,42492,95370,37305,36004,100070,64978,159,1845,992,19,507,36004,8472,5950,4484,36408
Quintana Roo,4,182859,116476,184583,183683,166086,174130,48635,185164,182512,184834,172304,145103,88708,168408,83609,62603,178622,115093,1128,2014,616,102,781,62603,26154,9484,5792,61863
San Luis Potosí,1,91175,66703,92864,84834,49584,67079,16371,76014,78029,76601,83332,74129,39708,85741,20340,26381,76062,29827,1636,9666,9977,552,1064,26381,4711,4659,13001,59793
San Luis Potosí,2,126711,100517,128732,125799,106982,104216,77391,123201,122251,123376,119609,105040,68351,122754,49247,46656,115330,64781,1097,4006,4515,386,1072,46656,17387,4043,10693,57409
San Luis Potosí,3,88123,62452,92347,82446,55556,67442,19973,68118,73210,67644,81129,73082,37370,82062,18792,21483,72664,27732,1990,11893,13793,705,2597,21483,4230,7895,16443,61376
San Luis Potosí,4,90982,61379,95382,92034,81696,51514,13635,76821,83157,76310,85375,71556,32279,84946,24870,21544,85922,34925,2047,5396,10459,595,1663,21544,4913,7083,9719,57034
San Luis Potosí,5,129826,104691,131137,128173,116705,116635,101327,129487,127030,129207,125786,113781,87872,126548,73940,72502,122331,89818,560,3523,1674,191,356,72502,27169,2472,4798,36119
San Luis Potosí,6,125005,102512,126302,125877,120953,103733,80581,126045,125418,125834,121543,109972,80473,121828,65288,66998,117386,86837,166,588,301,25,259,66998,23811,2134,4244,33304
San Luis Potosí,7,82910,59474,94830,76242,41448,43599,22064,46486,56752,44968,62460,30357,13113,71082,10767,12035,63500,10523,3646,22235,29469,1334,7711,12035,1072,15203,31724,83134
Sinaloa,1,119756,77313,121793,120806,109946,66395,10847,119177,118491,119169,113876,89166,52334,112974,39943,30232,110940,63013,897,1884,2758,304,1083,30232,11072,5647,8350,53585
Sinaloa,2,132613,90700,133734,132942,131071,31034,2481,130382,130279,130091,127493,102778,66141,126022,53736,30836,125917,73446,703,1495,3203,238,796,30836,12917,4569,6916,53787
Sinaloa,3,108333,75919,111794,109676,96068,63722,7423,103976,104475,103758,104991,83299,40735,101766,25562,14691,99875,35390,1171,3288,6213,359,1739,14691,4953,7537,11270,71148
Sinaloa,4,108128,77129,110880,109019,91331,49703,5027,97418,101618,97047,104022,78663,40011,101944,27473,15453,100897,40385,1073,2934,8647,321,1446,15453,5030,6394,9673,65899
Sinaloa,5,127866,101132,128946,128706,128234,77289,2347,128610,128394,128454,127573,111586,84800,124743,76492,46565,124667,94217,109,352,405,40,135,46565,25898,2486,2584,27671
Sinaloa,6,116140,83016,117885,116845,111266,75324,20887,114940,114670,114702,112984,94104,61643,111130,47956,37671,108200,60293,508,1548,2667,185,812,37671,15051,4848,7161,51490
Sinaloa,7,120333,88774,122957,121724,118249,55565,2703,120321,120426,120182,119945,98244,68445,116878,55479,35025,116854,74318,272,1497,1663,93,381,35025,17556,3944,4523,42062
Sonora,1,113118,77547,114085,114420,108048,23049,4766,110161,110532,109575,110344,93092,75231,108290,46728,35136,107728,72047,1537,1201,3796,340,860,35136,16628,4469,5890,38450
Sonora,2,135163,100108,135806,133038,124162,75378,8120,135529,131809,135039,131583,114679,90216,129657,60683,36373,130048,93271,1052,3793,1155,127,487,36373,23093,3853,4773,37959
Sonora,3,142453,103966,144999,144924,142880,85266,8132,142336,142779,142287,138922,113316,85097,135974,74206,44010,138496,99622,654,728,1983,111,1003,44010,27330,4921,5598,39452
Sonora,4,103998,72844,107096,106967,98730,61888,11876,96941,98878,96689,99438,77994,59249,99575,38024,28912,97576,54126,1473,1598,8488,363,1329,28912,10347,5320,8516,48728
Sonora,5,129996,98441,131317,130949,127653,76510,11289,130057,129622,129924,128233,109409,83556,125089,75093,50399,125680,96202,590,956,1181,105,465,50399,26182,3256,4193,30371
Sonora,6,133199,96477,134569,134167,131909,33611,3930,132485,132718,132660,129097,102007,77340,127283,59251,35686,126441,79697,888,1288,1745,202,774,35686,17324,4366,7088,48831
Sonora,7,94017,62798,97038,96523,84819,28938,5075,71448,75611,70649,86034,55051,35992,87912,26926,14456,85409,35546,2290,2806,22524,676,2165,14456,5395,6622,12719,58289
Tabasco,1,91716,52062,94952,83482,60351,35810,6869,92692,80665,92192,80127,65979,20686,81286,16546,13575,73121,20788,1450,12920,3816,373,3053,13575,2147,10373,20488,69994
Tabasco,2,112901,71932,117450,107148,36513,39461,3933,115060,104356,114490,97898,87920,25714,101947,20375,13281,99361,29069,1087,11389,3675,229,2674,13281,2675,12195,18212,84238
Tabasco,3,92663,57991,95802,91529,56927,29895,3204,93415,89427,93211,81153,70316,19894,82756,16574,8768,78326,21695,431,4704,2655,73,1935,8768,2313,8602,17032,69722
Tabasco,4,111326,72239,113226,111818,106455,71882,22573,112754,111293,112645,105580,93396,45799,104181,48634,42696,104671,66465,240,1647,580,42,697,42696,10253,5384,7198,41301
Tabasco,5,117057,76548,120424,113302,82671,52102,9927,117843,110945,117384,105191,92188,31725,106815,29303,14018,101679,39592,707,7827,3272,152,2267,14018,4858,9708,18383,74451
Tabasco,6,119493,74931,121864,119695,99303,62924,20655,120035,117798,119817,108515,93887,39915,108715,37945,26189,106232,50878,559,2728,2175,127,2272,26189,8758,8721,15195,64818
Tamaulipas,1,118517,84759,119686,119394,118840,27655,5307,119126,118813,118936,116059,101964,74636,114982,47667,54043,110557,70540,355,646,634,54,302,54043,18172,2496,5022,43554
Tamaulipas,2,112619,77258,113457,113197,110851,39871,6283,111634,111867,111562,109958,96241,71017,107618,47057,51945,106133,69746,376,636,1663,199,546,51945,15010,3922,5022,39510
Tamaulipas,3,117384,74366,117785,114782,102932,45578,7514,104175,103830,103573,110585,88938,53820,110949,31620,34370,109602,53348,1527,4529,14135,706,706,34370,9842,4890,7313,60273
Tamaulipas,4,113870,79540,114753,114015,113664,42627,16684,112691,112789,112530,109702,81896,60573,109139,43790,50458,108152,70207,808,1546,2207,487,417,50458,14652,3691,4371,40486
Tamaulipas,5,117867,84422,119642,117632,105011,49722,4269,109651,110117,109236,114877,101099,58812,113507,49977,44782,111106,67917,839,2849,8803,338,561,44782,13646,3682,6661,46812
Tamaulipas,6,104394,64193,105955,101825,84470,50180,5184,79626,84064,78694,96144,83484,36070,95226,20684,22303,92975,33947,1745,5875,21769,670,1511,22303,4117,7966,11763,68847
Tamaulipas,7,125759,84538,126674,125725,123781,67460,5117,123091,122906,122693,118338,103175,55938,118444,47435,55019,120103,74970,768,1717,3461,221,648,55019,14496,4468,5281,47020
Tamaulipas,8,111445,77680,111784,111599,111419,43285,4426,111513,111367,111481,107528,95342,64916,106926,58325,67713,105003,81982,114,298,280,29,292,67713,18084,2572,3309,25743
Tamaulipas,9,127435,83592,128884,128596,126837,43952,4615,127101,127505,127028,122326,99445,58129,119085,34356,32524,121396,57584,248,535,1295,53,588,32524,8571,6103,6270,64556
Tlaxcala,1,112802,77732,113687,112979,102508,95942,33013,108778,109702,109325,83974,64384,33407,106461,26371,24781,98191,35572,760,1468,3416,136,1307,24781,5647,4058,13215,72143
Tlaxcala,2,104665,77450,106482,106137,103541,89187,37082,105016,104862,105096,83553,61664,35383,99209,37512,38969,93035,51307,464,809,1277,79,1079,38969,7266,3708,9861,49223
Tlaxcala,3,112013,81831,113733,113310,102596,97562,28116,111326,111540,111590,90749,72115,36127,106387,32618,33684,98460,44966,635,1055,1783,111,1119,33684,5831,4008,11477,61982
Veracruz de Ignacio de la Llave,1,97349,61065,101337,87683,66866,49049,10957,75856,72932,74284,88541,69039,25809,91102,17495,19459,88543,28207,2583,16237,21642,1298,2282,19459,3033,7743,12940,70967
Veracruz de Ignacio de la Llave,10,123775,82941,125208,124705,123654,110257,20387,124611,124211,124586,113252,92655,67030,116488,66815,58480,117349,87296,310,813,478,38,511,58480,17830,4132,4609,32680
Veracruz de Ignacio de la Llave,11,119099,73960,120480,115403,102904,67535,11475,120253,114149,119625,111232,99004,46833,110023,43507,45487,111829,65192,806,5883,1396,136,1127,45487,8706,6019,7317,50334
Veracruz de Ignacio de la Llave,12,137606,88714,139019,137606,123187,87384,39405,138140,136762,137974,131240,113710,74026,129724,59759,55056,127764,85807,411,1824,1035,107,846,55056,15416,5350,8362,48495
Veracruz de Ignacio de la Llave,13,118236,71879,121866,116743,78978,60706,11225,115052,110459,114473,103772,79738,33330,108284,20717,19833,100539,36146,1819,6942,7340,441,2836,19833,3402,9334,19594,82268
Veracruz de Ignacio de la Llave,14,101586,62814,106465,93904,60034,42956,9876,103042,90600,102733,91710,76426,27806,88278,22868,28963,84827,40530,2281,14842,4637,645,3850,28963,3639,14419,19829,64426
Veracruz de Ignacio de la Llave,15,114867,76302,120454,118698,109807,73541,24490,106979,110937,107105,88169,68731,38286,108643,37400,38628,98857,52559,981,2737,8412,145,4097,38628,9644,7547,18966,63809
Veracruz de Ignacio de la Llave,16,118235,78838,122075,115656,107406,84123,18702,117359,113602,117273,101880,77316,43350,111713,38667,41204,106439,61174,1120,7539,3352,299,2123,41204,8481,6067,13018,56652
Veracruz de Ignacio de la Llave,17,115299,70746,119535,110651,76543,42656,8676,113833,106371,113534,103117,83126,31259,101427,19380,24671,98023,35245,1639,10523,5382,441,3578,24671,2695,12855,18882,81284
Veracruz de Ignacio de la Llave,18,92778,59384,111023,92583,67582,56807,18997,66610,66655,65573,57363,38423,16728,86245,14281,15171,78475,23636,2089,20529,36530,819,10052,15171,2415,17915,32116,85920
Veracruz de Ignacio de la Llave,19,114199,78185,119847,116533,88366,45022,8071,105915,108191,105949,100394,71239,29966,105981,21441,25062,96992,36496,2035,5349,9147,447,3549,25062,4106,10051,21098,81020
Veracruz de Ignacio de la Llave,2,86469,61710,97185,72593,50573,41957,10318,37751,42872,35625,66591,23165,11543,74534,9738,13105,61948,11974,3934,28527,50586,2143,8355,13105,717,15013,34715,84999
Veracruz de Ignacio de la Llave,20,117659,67716,123926,111904,83944,45503,13574,115898,105914,115969,97009,75078,26903,100898,23424,23882,101093,38182,1685,13706,6592,323,5935,23882,3156,16653,22050,82192
Veracruz de Ignacio de la Llave,3,95379,63250,99257,82380,52728,55230,10631,78359,72294,77326,88118,67608,29498,90114,23807,27557,82957,35734,1508,18385,16669,704,1806,27557,4607,5949,13459,60146
Veracruz de Ignacio de la Llave,4,151138,98644,153766,152954,139275,108472,12132,153056,151736,152369,144414,125223,77340,143668,60475,51800,145362,95785,301,1114,1364,50,785,51800,17003,5050,6597,51996
Veracruz de Ignacio de la Llave,5,92554,63851,97215,87257,63823,71713,24569,90045,83512,89725,88463,74299,35805,88411,33834,37613,87022,51480,1503,11461,6680,599,1512,37613,6886,6052,8716,43452
Veracruz de Ignacio de la Llave,6,99579,63211,110469,88740,59179,54956,11524,85722,79222,84493,87077,56386,22572,95211,16170,20401,85653,30968,2293,24022,17711,799,4465,20401,2053,10979,22946,78257
Veracruz de Ignacio de la Llave,7,109345,62761,114795,110317,76804,57868,23997,105349,105078,105547,88215,62590,24984,101085,19189,22324,94529,38382,2125,6601,5841,468,3356,22324,3044,9298,19192,74685
Veracruz de Ignacio de la Llave,8,136767,88911,139235,137979,119866,92761,33982,134547,134464,134884,120008,89828,56982,127740,40733,39469,116006,61184,1546,2802,3610,289,2501,39469,10673,7093,19315,73700
Veracruz de Ignacio de la Llave,9,105247,65034,108861,107525,87370,67352,24321,99327,103388,99973,78857,58229,32554,98885,28069,27829,87569,43565,1069,2405,4253,199,2486,27829,6471,5536,19199,62074
Yucatán,1,104488,51062,106280,106818,101901,74563,8322,92634,89783,90253,70594,66627,19182,91458,19734,10569,85054,34063,2427,1890,17545,477,3662,10569,2295,11286,22901,69233
Yucatán,2,128344,75219,128539,127727,116985,103560,22618,119524,116671,117242,110594,98325,44251,120140,34078,19891,115426,52435,1138,1948,11666,316,1596,19891,6685,5561,13496,69568
Yucatán,3,151038,96570,151541,150463,147897,132155,21576,149562,148160,148971,143279,121667,81928,143533,72908,53402,143956,97979,508,1586,2663,134,571,53402,18821,3816,5703,45713
