NOM_ENT ,DISTRITO,VPH_PISODT,VPH_2YMASD,VPH_C_ELEC,VPH_AGUADV,VPH_AEASP,VPH_TINACO,VPH_CISTER,VPH_EXCSA,VPH_C_SERV,VPH_DSADMA,VPH_REFRI,VPH_LAVAD,VPH_HMICRO,VPH_TV,VPH_PC,VPH_TELEF,VPH_CEL,VPH_INTER,VPH_S_ELEC,VPH_AGUAFV,VPH_NODREN,VPH_NDEAED,VPH_SNBIEN,VPH_TELEF,VPH_CVJ,VPH_SINRTV,VPH_SINLTC,VPH_SINCIN
Chiapas,5,87236,62290,100410,89662,65957,70871,16026,72922,77525,72660,38086,27649,16731,74180,16849,14340,67473,18963,1054,11801,17678,360,13803,14340,2722,19416,32464,78192
Chiapas,6,116097,73286,121898,113266,88667,88996,58146,118784,111326,119558,103160,76223,35679,109941,34873,22252,105146,46075,1118,9749,2391,248,2760,22252,6500,8309,16773,70790
Chiapas,7,101007,58848,105890,94699,57000,27725,33771,103616,92225,103395,87133,62606,17514,88449,12550,12112,83882,22156,1400,12590,3326,287,3144,12112,1340,10926,20810,81143
Chiapas,8,110252,75215,119942,107932,77268,79553,34823,107868,103236,108467,89330,66771,26648,103186,17555,13546,91178,23502,1256,13267,7685,389,5144,13546,2544,11191,27880,91736
Chiapas,9,110972,77933,113322,109772,105217,102554,73720,113081,109602,113156,105703,83137,48744,106522,51381,37843,107070,68314,146,3696,189,13,417,37843,9776,3724,4765,38776
Chihuahua,1,139295,102100,139936,139876,139428,6596,609,139943,139703,139851,136532,123549,98961,135485,61922,60419,134660,92032,111,166,58,8,222,60419,24185,2225,3519,41174
Chihuahua,2,126556,87591,127031,126920,118105,11558,2284,125456,125292,125264,122486,109466,84397,119585,39478,32785,119715,56619,485,597,1510,69,380,32785,13612,4707,5712,62769
Chihuahua,3,102497,67494,104044,102529,98386,8859,1441,102789,101787,102550,100695,89998,73373,100857,35720,45329,95262,57754,193,1697,991,43,269,45329,12798,1848,5842,41534
Chihuahua,4,129632,96404,130350,130287,129926,2965,1428,130225,130073,130127,128647,120194,110923,127732,83003,84114,123070,101840,101,146,137,26,158,84114,33500,1475,3151,24015
Chihuahua,5,130663,93481,130924,130775,123139,44882,5434,130154,129917,130129,127862,117515,94412,125961,45705,38571,121427,63110,406,545,819,60,353,38571,14793,2710,6583,60439
Chihuahua,6,154341,121561,154878,154585,151584,116064,20522,154573,154270,154481,153274,144223,129299,150781,97974,90045,148351,118902,148,416,285,23,146,90045,39063,2291,2900,30171
Chihuahua,7,112067,79732,112102,112509,89478,33549,1857,101113,103229,100759,103564,93836,75394,98592,33669,25437,101988,38874,3426,3019,11210,1290,3186,25437,10296,8935,10935,67520
Chihuahua,8,143891,106832,144671,142876,138078,113210,3943,144061,142300,143805,141814,129813,110226,139893,67058,63152,136822,91239,248,2044,767,53,246,63152,25091,2602,4446,46458
Chihuahua,9,81695,62922,81684,84849,60252,70242,4946,66994,69265,66741,66772,55638,45255,69633,24195,20688,69750,30176,11972,8807,21359,4378,10803,20688,6626,15320,21331,57952
Ciudad de México,1,109290,71330,109828,109579,109272,90850,33318,109651,109454,109645,100416,85354,63939,105407,51243,69204,97301,73420,53,303,102,5,382,69204,16457,2216,5005,31780
Ciudad de México,10,144234,99518,144472,144408,144160,119490,102865,144249,144271,144211,140785,128304,112836,139511,109620,109255,137092,124766,45,109,129,1,177,109255,39653,2459,2398,15787
Ciudad de México,11,101109,71277,101356,101339,101147,93276,78895,101240,101265,101223,96338,84454,69541,98270,62006,70790,93538,78067,36,52,48,1,157,70790,21611,1404,2692,19137
Ciudad de México,12,123501,84222,123619,123531,123298,111269,108488,123406,123422,123384,119104,103623,88494,116820,88867,88773,116960,103095,46,134,86,1,198,88773,29687,2864,2203,16595
Ciudad de México,13,117136,85557,117383,117339,116551,99338,81332,117269,117250,117235,111701,97968,79437,114005,72365,82286,108694,91029,52,93,42,3,196,82286,25606,1568,2666,21762
Ciudad de México,14,98275,68689,98730,98217,94264,85462,64141,98428,97945,98324,91831,83301,69036,95331,59654,67787,91982,76104,55,567,240,2,223,67787,20608,1492,2515,19118
Ciudad de México,15,175564,121541,175762,175745,175492,160719,158802,175671,175690,175641,173596,157519,146509,169785,149689,141364,170360,161786,29,43,33,0,114,141364,54473,2434,1141,10638
Ciudad de México,16,116689,80257,117125,117066,116766,90719,34197,116999,116948,116939,111132,100299,83494,113543,71449,81596,108627,90485,30,73,67,0,231,81596,26887,1604,3059,22397
Ciudad de México,17,113151,81763,114203,113663,107764,98078,38636,113750,113392,113721,105862,96663,80614,110668,68221,78738,106201,86198,60,582,225,2,226,78738,25866,1771,3388,23800
Ciudad de México,18,106299,74501,106820,106648,106125,92412,63199,106668,106525,106666,100134,87036,70031,103088,61430,72961,98022,78386,64,228,90,2,302,72961,20124,1910,3380,24033
Ciudad de México,19,101930,75430,102412,102300,99534,90903,65626,102315,102217,102323,96096,83407,63741,99188,53821,67493,93059,72994,57,169,44,4,213,67493,18393,1574,3319,25008
Ciudad de México,2,121450,86998,121868,121704,121197,105307,65599,121648,121561,121594,115823,101416,83979,117197,74887,85828,111614,93738,59,215,140,5,279,85828,25036,2218,3599,23521
Ciudad de México,20,95641,70210,96118,95914,94789,72656,53588,95963,95832,95961,89311,77827,54957,92539,45389,60922,86302,65098,59,263,56,8,313,60922,15556,1824,4162,26537
Ciudad de México,21,108064,73489,110769,98246,87338,92929,33574,108577,97599,108775,94822,79840,52744,105296,46512,64079,99230,65320,344,12867,1206,69,553,64079,12230,2586,5626,40101
Ciudad de México,22,97285,57161,98000,97737,97252,85922,78026,97850,97623,97929,84164,68820,44122,93271,34216,58473,85913,60658,82,345,72,3,405,58473,10190,2283,4918,33582
Ciudad de México,23,119123,85323,119438,119389,118904,100917,73931,119210,119197,119119,114120,101894,86266,114361,81292,86477,111592,97003,48,96,143,1,187,86477,26916,2176,2543,18439
Ciudad de México,24,114365,90716,115105,114194,113343,89790,61649,114346,113997,114473,109916,99855,84209,111802,77782,88458,107735,92503,60,971,230,6,266,88458,26569,1491,2328,18784
Ciudad de México,3,133490,96070,133798,133597,132706,107591,84062,133572,133511,133563,128896,115721,97011,130067,86856,96128,123961,105899,38,239,87,2,188,96128,31801,1661,2869,22687
